M0.#,Present,Hallucination,Rationale
M0.1.1,Yes,,
M0.1.2,Yes,,
M0.1.3,Yes,,
M0.1.4,Yes,,
M0.1.5,Yes,,
M0.1.6,Yes,,
M0.1.7,Yes,,Duplicate of previous
M0.1.8,Yes,,
M0.1.9,Yes,,
M0.1.10,Yes,,
M0.2.1,No,Yes,Absurd; unachievable
M0.2.2,No,Yes,Absurd; unachievable
M0.2.3,No,Yes,Absurd; unachievable
M0.2.4,No,Yes,Absurd; unachievable
M0.3.1,Yes,,
M0.3.2,Yes,,
M0.3.3,Yes,,
M0.3.4,No,Yes,Unrelated
M0.4.1,Yes,,
M0.4.2,Yes,,
M0.4.3,Partial,No,
M0.5.1,Yes,,
M0.5.2,No,No,
M0.5.3,No,Yes,Absurd
M0.6.1,Yes,,
M0.6.2,No,No,
M0.7.1,No,No,
M0.7.2,Yes,,
M0.7.3,Yes,,
M0.8.1,Yes,,
M0.9.1,Yes,,
M0.9.2,Yes,,
M0.9.3,Yes,,
M0.9.4,Yes,,
M0.9.5,Yes,,
M0.9.6,Yes,,
M0.10.1,Yes,,
M0.10.2,Yes,,
M0.10.3,No,No,
M0.10.4,Yes,,
M0.10.5,No,No,
M0.10.6,Yes,No,Self-evident redundant of next
M0.10.7,Yes,,
