H.#,L1.#
H.1.1,L1.1.1
H.1.1,L1.1.2
H.1.2,None
H.2.1,L1.2.2
H.2.2,None
H.3.1,L1.3.1
H.3.2,L1.3.2
H.3.3,None
H.3.4,None
H.3.5,L1.3.5
H.4.1,L1.4.1
H.4.2,L1.4.1
H.4.3,None
H.4.4,None
H.4.5,L1.4.1
H.4.6,None
H.4.7,L1.4.1
H.4.8,None
H.5.1,L1.5.1
H.5.1,L1.5.2
H.5.1,L1.5.4
H.5.2,None
H.6.1,L1.6.1
H.6.1,L1.6.2
H.6.1,L1.6.3
H.6.1,L1.6.4
H.6.1,L1.6.5
H.7.1,L1.7.1
H.7.1,L1.7.4
H.7.2,L1.7.3
H.7.3,None
H.8.1,L1.8.1
H.8.1,L1.8.2
H.9.1,L1.9.1
H.9.1,L1.9.2
H.9.1,L1.9.3
H.9.1,L1.9.4
H.9.1,L1.9.5
H.9.1,L1.9.6
H.9.2,None
H.9.3,L1.9.1
H.9.3,L1.9.2
H.9.3,L1.9.3
H.9.3,L1.9.4
H.9.3,L1.9.5
H.9.3,L1.9.6
H.10.1,L1.10.1
H.10.2,L1.10.3
H.10.3,None
