M0_iii.#,Present,Hallucination,Hall. Type,Rationale
M0_iii.1.1,Yes,,,
M0_iii.1.2,Yes,,,
M0_iii.2.1,No,Yes,Scope misalignment,
M0_iii.2.2,No,Yes,Scope misalignment,
M0_iii.2.3,No,Yes,Scope misalignment,
M0_iii.2.4,No,Yes,Scope misalignment,
M0_iii.2.5,No,Yes,Scope misalignment,
M0_iii.3.1,No,Yes,Scope misalignment,
M0_iii.3.2,Yes,,,
M0_iii.3.3,Yes,,,
M0_iii.3.4,Yes,,,
M0_iii.3.5,Yes,,,
M0_iii.3.6,Yes,,,
M0_iii.4.1,Yes,,,
M0_iii.4.2,No,Yes,Template drift,
M0_iii.4.3,No,No,,
M0_iii.4.4,No,No,,
M0_iii.5.1,Yes,,,
M0_iii.5.2,Yes,,,
M0_iii.5.3,No,Yes,Architectural infeasibility,
M0_iii.5.4,Yes,,,
M0_iii.6.1,Yes,,,
M0_iii.6.2,Yes,,,
M0_iii.6.3,Yes,,,
M0_iii.7.1,Yes,,,
M0_iii.8.1,No,Yes,Architectural infeasibility,
M0_iii.8.2,Yes,,,
M0_iii.8.3,No,Yes,Template drift,
M0_iii.9.1,Yes,,,
M0_iii.9.2,Yes,,,
M0_iii.10.1,Yes,,,
M0_iii.10.2,Yes,,,
M0_iii.10.3,Yes,,,
