Q0.#,Present,Hallucination,Hall. Type,Rationale
Q0.1.1,Yes,,,
Q0.1.2,Yes,,,
Q0.2.1,Yes,,,
Q0.3.1,Yes,,,
Q0.3.2,No,Yes,Contextual misfit,
Q0.3.3,Yes,,,
Q0.3.4,Yes,,,
Q0.3.5,Yes,,,
Q0.3.6,No,No,,
Q0.3.7,No,Yes,Contextual misfit,
Q0.3.8,No,Yes,Template drift,
Q0.3.9,No,Yes,Template drift,
Q0.4.1,Yes,,,
Q0.4.2,No,Yes,Template drift,
Q0.4.3,Yes,,,
Q0.4.4,Yes,,,
Q0.4.5,Yes,,,
Q0.4.6,No,No,,
Q0.4.7,No,Yes,Contextual misfit,Incorrect assumption
Q0.4.8,No,No,,
Q0.4.9,No,No,,
Q0.4.10,Yes,,,
Q0.4.11,No,Yes,Template drift,
Q0.4.12,Partial,Yes,Template drift,Partial hall.
Q0.5.1,Yes,,,
Q0.6.1,Yes,,,Includes irrelevant periodicity
Q0.7.1,Yes,,,
Q0.8.1,Yes,,,
Q0.9.1,Yes,,,
Q0.9.2,Yes,,,
Q0.9.3,Yes,,,
Q0.9.4,No,Yes,Template drift,
Q0.10.1,Yes,,,
Q0.10.2,No,Yes,Template drift,
Q0.10.3,No,Yes,Template drift,
Q0.10.4,No,Yes,Template drift,
Q0.10.5,No,Yes,Template drift,
Q0.10.6,No,Yes,Template drift,
Q0.10.7,No,Yes,Template drift,
