Q0_iv.#,Present,Hallucination,Hall. Type,Rationale
Q0_iv.1.1,Yes,,,
Q0_iv.1.2,Yes,,,
Q0_iv.2.1,Yes,,,
Q0_iv.3.1,No,Yes,Scope misalignment,
Q0_iv.3.2,Yes,,,
Q0_iv.4.1,Partial,,,
Q0_iv.4.2,Yes,,,
Q0_iv.4.3,No,No,,
Q0_iv.4.4,No,Yes,Scope misalignment,
Q0_iv.4.5,Yes,,,
Q0_iv.5.1,Yes,,,
Q0_iv.6.1,Yes,,,
Q0_iv.6.2,Yes,,,
Q0_iv.6.3,Yes,,,
Q0_iv.7.1,Yes,,,
Q0_iv.7.2,Yes,,,
Q0_iv.8.1,Yes,,,
Q0_iv.9.1,Yes,,,
Q0_iv.9.2,Yes,,,
Q0_iv.9.3,Yes,,,
Q0_iv.9.4,Yes,,,
Q0_iv.10.1,Yes,,,
Q0_iv.10.2,Yes,,,
Q0_iv.10.3,Yes,,,
Q0_iv.10.4,Yes,,,
