L0_ii.#,H.#
L0_ii.1.1,H.1.1
L0_ii.1.2,H.1.1
L0_ii.2.1,None
L0_ii.2.2,H.2.1
L0_ii.2.3,None
L0_ii.3.1,H.3.1
L0_ii.3.2,None
L0_ii.3.3,H.3.4
L0_ii.3.4,H.3.5
L0_ii.3.5,H.3.2
L0_ii.4.1,H.4.1
L0_ii.4.1,H.4.2
L0_ii.4.1,H.4.3
L0_ii.4.1,H.4.5
L0_ii.4.1,H.4.7
L0_ii.4.2,H.4.1
L0_ii.4.2,H.4.2
L0_ii.4.2,H.4.3
L0_ii.4.3,H.4.1
L0_ii.4.3,H.4.2
L0_ii.4.3,H.4.3
L0_ii.4.4,H.4.1
L0_ii.4.4,H.4.2
L0_ii.4.4,H.4.3
L0_ii.5.1,H.5.1
L0_ii.5.2,H.5.1
L0_ii.5.3,H.5.1
L0_ii.5.4,H.5.2
L0_ii.5.5,H.5.1
L0_ii.6.1,H.6.1
L0_ii.6.2,None
L0_ii.7.1,H.7.1
L0_ii.7.2,None
L0_ii.7.3,H.7.1
L0_ii.7.4,H.7.1
L0_ii.7.5,H.7.1
L0_ii.7.6,H.7.2
L0_ii.8.1,H.8.1
L0_ii.9.1,H.9.1
L0_ii.9.1,H.9.3
L0_ii.9.2,H.9.2
L0_ii.9.3,None
L0_ii.9.4,H.9.2
L0_ii.9.4,H.9.3
L0_ii.10.1,H.10.2
L0_ii.10.2,None
L0_ii.10.3,None
L0_ii.10.4,None
L0_ii.10.5,None
L0_ii.10.6,None
