L0a.#,H.#
L0a.1.1,H.1.1
L0a.1.2,H.1.1
L0a.1.3,H.1.1
L0a.1.4,None
L0a.2.1,H.2.1
L0a.2.2,None
L0a.2.3,H.2.1
L0a.3.1,H.3.1
L0a.3.2,None
L0a.3.3,H.3.1
L0a.3.4,H.3.1
L0a.3.5,None
L0a.3.6,None
L0a.3.7,None
L0a.3.8,None
L0a.3.9,None
L0a.3.10,None
L0a.4.1,H.4.1
L0a.4.1,H.4.2
L0a.4.1,H.4.3
L0a.4.1,H.4.7
L0a.4.2,H.4.1
L0a.4.2,H.4.2
L0a.4.2,H.4.3
L0a.4.2,H.4.7
L0a.4.3,H.4.1
L0a.4.3,H.4.2
L0a.4.3,H.4.3
L0a.4.3,H.4.7
L0a.4.4,None
L0a.4.5,None
L0a.5.1,H.5.1
L0a.5.2,H.5.1
L0a.5.3,H.5.1
L0a.6.1,H.6.1
L0a.7.1,H.7.1
L0a.7.2,None
L0a.7.3,H.7.1
L0a.7.4,None
L0a.8.1,H.8.1
L0a.9.1,H.9.1
L0a.9.2,None
L0a.9.3,H.9.3
L0a.9.4,None
L0a.9.5,H.9.3
L0a.9.6,H.9.3
L0a.9.7,H.9.3
L0a.10.1,H.10.2
L0a.10.2,None
L0a.10.3,None
L0a.10.4,None
L0a.10.5,None
